FAILURE_NAME,UTILITY_DROP,AFFECTED_COMPONENT,CRITICALITY,UTILITY_INCREASE,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,REPLICA,REQUEST
CF2,274.4625244,Seller Reputation Item Filter,8,274.4625244,1.64,2,0.5,1,1,1,1.027937124,LwRedeployComponent,17.79636848,75.97996468,40,742
CF3,3470.584526,Query Service,9,3470.584526,1.9,11,0.5,3,10,1,1.192615619,HwRedeployComponent,12.89818771,87.25315103,46,997
CF5,2015.63071,Authentication Service,7,3416.114714,0.5,5,0.85,15,4,1,1.445181683,AddReplica,5.10730384,156.5920872,25,2244
CF2,3622.898952,Buy Now Item Filter,8,3622.898952,0.35,2,0.5,14,1,1,1.018789334,RestartComponent,16.2191377,143.3773476,26,898
CF5,-7.20179879,Availability Item Filter,8,142.4957551,0.5,2,0.5,2,1,1,1.276540791,AddReplica,5.637879756,107.8141421,42,3495
CF1,1638.127359,Region Item Filter,6,1638.127359,1.53,2,0.5,8,1,1,1.013875071,LwRedeployComponent,17.16943865,93.91547799,2,39
CF2,2103.778411,Inventory Service,9,2103.778411,0.35,3,0.5,6,1,2,1.427135786,RestartComponent,13.07438129,70.4972201,24,411
CF3,351.1856336,Category Item Filter,5,351.1856336,1.63,2,0.5,3,1,1,1.084874655,HwRedeployComponent,12.06781267,83.23832011,14,291
CF3,2263.446072,Future Sales Item Filter,7,2263.446072,1.63,2,0.5,14,1,1,1.250843278,HwRedeployComponent,11.61201278,170.676447,9,361
CF2,1690.881484,Authentication Service,7,1690.881484,0.35,5,0.85,7,4,1,1.087215603,RestartComponent,5.10730384,156.5920872,2,58
CF5,108.1660917,Region Item Filter,6,1258.347372,0.5,2,0.5,8,1,1,1.194530084,AddReplica,17.16943865,93.91547799,56,5146
CF1,3161.585357,User Management Service,8,3161.585357,0.35,4,0.5,9,0,4,1.302252164,RestartComponent,17.63671044,128.1755686,7,205
CF1,1344.570328,Past Sales Item Filter,5,1344.570328,1.63,2,0.5,7,1,1,1.28708517,HwRedeployComponent,19.39201685,188.8243981,6,271
CF5,1567.566387,Item Management Service,8,1844.70049,0.5,4,0.5,15,0,4,1.386176868,AddReplica,7.445206458,103.3109746,46,3977
CF5,562.8283566,Buy Now Item Filter,8,1136.101169,0.5,2,0.5,6,1,1,1.013355684,AddReplica,16.2191377,143.3773476,61,9284
CF5,251.0884904,Recommendation Item Filter,9,1359.869714,0.5,2,0.5,10,1,1,1.261672051,AddReplica,9.853347561,152.5462346,55,8147
CF5,1242.708491,Query Service,9,2127.508839,0.5,11,0.5,3,10,1,1.288592766,AddReplica,12.89818771,87.25315103,74,9014
CF5,376.2336349,Last Second Sales Item Filter,10,627.0104954,0.5,2,0.5,5,1,1,1.416360342,AddReplica,9.667425092,81.91615479,69,7078
CF3,2059.154863,Bid and Buy Service,10,2059.154863,1.72,5,0.5,9,0,5,1.450347372,HwRedeployComponent,7.68021606,189.208131,20,908
CF5,1598.210422,Bid and Buy Service,10,2866.938979,0.5,5,0.5,14,0,5,1.132926702,AddReplica,7.68021606,189.208131,34,4489
CF5,2529.55638,Persistence Service,7,2534.908118,0.5,5,0.5,10,5,0,1.452131126,AddReplica,14.73108942,93.8030449,30,1084
CF5,656.3998188,Inventory Service,9,1050.637299,0.5,3,0.5,4,1,2,1.035092064,AddReplica,13.07438129,70.4972201,59,4261
CF3,552.5143667,Comment Item Filter,7,552.5143667,1.63,2,0.5,3,1,1,1.398716472,HwRedeployComponent,13.4881317,158.2886289,4,152
CF5,112.2898738,Past Sales Item Filter,5,617.3056247,0.5,2,0.5,4,1,1,1.189481633,AddReplica,19.39201685,188.8243981,49,8185
CF5,1188.63294,Comment Item Filter,7,2528.174025,0.5,2,0.5,14,1,1,1.292513075,AddReplica,13.4881317,158.2886289,20,1614
CF2,829.0991969,Reputation Service,8,829.0991969,1.69,4,0.5,3,0,4,1.253463904,HwRedeployComponent,14.0272306,151.5789161,6,216
CF1,2887.850148,Last Second Sales Item Filter,10,2887.850148,0.35,2,0.5,15,1,1,1.237737924,RestartComponent,9.667425092,81.91615479,10,201
CF1,440.0214156,Availability Item Filter,8,440.0214156,0.35,2,0.5,5,1,1,1.100896485,RestartComponent,5.637879756,107.8141421,6,155
CF2,762.9857805,Persistence Service,7,762.9857805,0.35,5,0.5,3,5,0,1.039641422,RestartComponent,14.73108942,93.8030449,1,15
CF5,42.80340167,Reputation Service,8,197.8554521,0.5,4,0.5,1,0,4,1.322743191,AddReplica,14.0272306,151.5789161,58,8985
CF5,762.9347337,Future Sales Item Filter,7,1843.721066,0.5,2,0.5,12,1,1,1.374221203,AddReplica,11.61201278,170.676447,22,2025
CF5,4134.747156,User Management Service,8,4587.814184,0.5,4,0.5,14,0,4,1.274711491,AddReplica,17.63671044,128.1755686,26,1995
CF1,2293.926322,Recommendation Item Filter,9,2293.926322,1.63,2,0.5,13,1,1,1.175700722,HwRedeployComponent,9.853347561,152.5462346,24,898
CF5,361.7506751,Category Item Filter,5,732.4629065,0.5,2,0.5,10,1,1,1.466429492,AddReplica,12.06781267,83.23832011,74,8513
CF5,134.0299122,Seller Reputation Item Filter,8,1346.14068,0.5,2,0.5,7,1,1,1.458065094,AddReplica,17.79636848,75.97996468,67,6103
