FAILURE_NAME,UTILITY_DROP,AFFECTED_COMPONENT,CRITICALITY,UTILITY_INCREASE,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,REPLICA,REQUEST
CF2,66.86243296,Inventory Service,9,66.86243296,1.64,3,0.5,3,1,2,1.413756704,LwRedeployComponent,13.07438129,70.4972201,41,713
CF1,265.4098715,Item Management Service,8,265.4098715,1.69,4,0.5,14,0,4,1.459012848,HwRedeployComponent,7.445206458,103.3109746,26,646
CF1,52.10829673,Buy Now Item Filter,8,52.10829673,1.63,2,0.5,4,1,1,1.189170327,HwRedeployComponent,16.2191377,143.3773476,26,923
CF3,73.5681018,Future Sales Item Filter,7,73.5681018,1.63,2,0.5,6,1,1,1.04318982,HwRedeployComponent,11.61201278,170.676447,2,59
CF1,975.9048163,Query Service,9,975.9048163,1.9,11,0.5,11,10,1,1.409518368,HwRedeployComponent,12.89818771,87.25315103,24,515
CF1,139.272414,Bid and Buy Service,10,139.272414,0.35,5,0.5,5,0,5,1.072758603,RestartComponent,7.68021606,189.208131,14,645
CF3,185.8914641,User Management Service,8,185.8914641,1.69,4,0.5,10,0,4,1.410853587,HwRedeployComponent,17.63671044,128.1755686,20,630
CF1,31.2674354,Comment Item Filter,7,31.2674354,1.53,2,0.5,3,1,1,1.07325646,LwRedeployComponent,13.4881317,158.2886289,7,273
CF3,560.6331503,Authentication Service,7,594.2331503,1.72,5,0.9,12,4,1,1.056684965,ReplaceComponent,5.10730384,156.5920872,6,220
CF3,199.3978955,Persistence Service,7,199.3978955,1.72,5,0.5,12,5,0,1.060210447,HwRedeployComponent,14.73108942,93.8030449,41,950
CF2,65.06188806,Category Item Filter,5,65.06188806,1.63,2,0.5,8,1,1,1.493811194,HwRedeployComponent,12.06781267,83.23832011,18,373
CF1,19.26880014,Availability Item Filter,8,19.26880014,1.63,2,0.5,2,1,1,1.273119986,HwRedeployComponent,5.637879756,107.8141421,9,225
CF3,70.89733484,Region Item Filter,6,70.89733484,1.63,2,0.5,7,1,1,1.310266516,HwRedeployComponent,17.16943865,93.91547799,9,207
CF3,48.07461073,Reputation Service,8,48.07461073,1.69,4,0.5,3,0,4,1.192538927,HwRedeployComponent,14.0272306,151.5789161,15,556
CF2,42.74113497,Recommendation Item Filter,9,42.74113497,0.35,2,0.5,3,1,1,1.125886503,RestartComponent,9.853347561,152.5462346,2,75
CF2,27.0231304,Last Second Sales Item Filter,10,27.0231304,0.35,2,0.5,2,1,1,1.29768696,RestartComponent,9.667425092,81.91615479,26,520
CF3,4.591479584,Seller Reputation Item Filter,8,4.591479584,1.63,2,0.5,1,1,1,1.140852042,HwRedeployComponent,17.79636848,75.97996468,26,480
CF3,118.9717392,Past Sales Item Filter,5,118.9717392,1.63,2,0.5,13,1,1,1.102826079,HwRedeployComponent,19.39201685,188.8243981,19,893
CF1,181.0155373,Availability Item Filter,8,181.0155373,1.53,2,0.5,12,1,1,1.098446273,LwRedeployComponent,5.637879756,107.8141421,32,836
CF3,255.3627435,Recommendation Item Filter,9,255.3627435,1.63,2,0.5,15,1,1,1.463725647,HwRedeployComponent,9.853347561,152.5462346,23,866
CF3,157.0850296,Region Item Filter,6,157.0850296,1.63,2,0.5,14,1,1,1.091497042,HwRedeployComponent,17.16943865,93.91547799,30,683
CF1,56.65325271,Persistence Service,7,56.65325271,1.53,5,0.5,4,5,0,1.334674729,LwRedeployComponent,14.73108942,93.8030449,10,225
CF1,269.5055256,Item Management Service,8,269.5055256,1.53,4,0.5,14,0,4,1.049447436,LwRedeployComponent,7.445206458,103.3109746,8,186
CF3,26.59665534,User Management Service,8,26.59665534,1.69,4,0.5,2,0,4,1.340334466,HwRedeployComponent,17.63671044,128.1755686,9,275
