FAILURE_NAME,UTILITY_DROP,AFFECTED_COMPONENT,CRITICALITY,UTILITY_INCREASE,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,REPLICA,REQUEST,0,1,FO
CF3,405.4297184,Bid and Buy Service,10,405.4297184,1.72,5,0.5,14,0,5,1.457028155,HwRedeployComponent,7.68021606,189.208131,15,697,0,420,-420
CF2,82.95516312,Seller Reputation Item Filter,8,82.95516312,1.63,2,0.5,6,1,1,1.304483688,HwRedeployComponent,17.79636848,75.97996468,14,265,-48,0,-48
CF1,234.8421494,Persistence Service,7,234.8421494,0.35,5,0.5,14,5,0,1.015785055,RestartComponent,14.73108942,93.8030449,11,243,-196,-147,0
CF1,209.2885521,Buy Now Item Filter,8,209.2885521,1.63,2,0.5,14,1,1,1.471144794,HwRedeployComponent,16.2191377,143.3773476,10,338,-112,0,-112
CF3,49.11998166,Past Sales Item Filter,5,49.11998166,1.63,2,0.5,6,1,1,1.088001834,HwRedeployComponent,19.39201685,188.8243981,18,836,-30,0,-30
CF2,130.0604116,Region Item Filter,6,130.0604116,0.35,2,0.5,12,1,1,1.393958838,RestartComponent,17.16943865,93.91547799,24,542,-72,0,-72
CF1,65.44639765,Item Management Service,8,65.44639765,1.69,4,0.5,4,0,4,1.455360235,HwRedeployComponent,7.445206458,103.3109746,2,44,0,80,-80
CF3,66.1889101,User Management Service,8,66.1889101,1.69,4,0.5,4,0,4,1.38110899,HwRedeployComponent,17.63671044,128.1755686,10,313,0,80,-80
CF1,525.5420251,Query Service,9,525.5420251,0.35,11,0.5,6,10,1,1.445797488,RestartComponent,12.89818771,87.25315103,31,669,-486,-432,0
CF3,43.31592977,Comment Item Filter,7,43.31592977,1.63,2,0.5,4,1,1,1.268407023,HwRedeployComponent,13.4881317,158.2886289,10,386,-28,0,-28
CF1,86.54117695,Reputation Service,8,86.54117695,1.69,4,0.5,5,0,4,1.345882305,HwRedeployComponent,14.0272306,151.5789161,4,125,0,100,-100
CF1,3.687022727,Availability Item Filter,8,3.687022727,0.35,2,0.5,1,1,1,1.231297727,RestartComponent,5.637879756,107.8141421,4,106,-8,0,-8
CF3,367.023263,Authentication Service,7,389.423263,1.72,5,0.9,8,4,1,1.377673699,ReplaceComponent,5.10730384,156.5920872,12,461,-302.4,-201.6,0
CF2,105.5395887,Last Second Sales Item Filter,10,105.5395887,1.64,2,0.5,6,1,1,1.446041127,LwRedeployComponent,9.667425092,81.91615479,43,873,-60,0,-60
CF2,-0.602540764,Future Sales Item Filter,7,-0.602540764,1.63,2,0.5,1,1,1,1.460254076,HwRedeployComponent,11.61201278,170.676447,16,663,-7,0,-7
CF1,239.0325732,Recommendation Item Filter,9,239.0325732,0.35,2,0.5,14,1,1,1.29674268,RestartComponent,9.853347561,152.5462346,10,362,-126,0,-126
CF2,97.97895854,Category Item Filter,5,97.97895854,1.64,2,0.5,11,1,1,1.202104146,LwRedeployComponent,12.06781267,83.23832011,35,725,-55,0,-55
CF2,392.1485941,Inventory Service,9,392.1485941,0.35,3,0.5,15,1,2,1.285140585,RestartComponent,13.07438129,70.4972201,29,504,-202.5,0,-202.5
CF3,154.3342947,Comment Item Filter,7,154.3342947,1.63,2,0.5,12,1,1,1.366570528,HwRedeployComponent,13.4881317,158.2886289,13,495,-84,0,-84
CF1,439.1672361,Query Service,9,439.1672361,1.9,11,0.5,5,10,1,1.083276387,HwRedeployComponent,12.89818771,87.25315103,43,922,-405,-360,0
CF3,90.57297866,Persistence Service,7,90.57297866,1.72,5,0.5,6,5,0,1.442702134,HwRedeployComponent,14.73108942,93.8030449,16,356,-84,-63,0
CF3,286.3123562,Last Second Sales Item Filter,10,286.3123562,1.63,2,0.5,15,1,1,1.368764383,HwRedeployComponent,9.667425092,81.91615479,29,584,-150,0,-150
CF3,67.74910361,Availability Item Filter,8,67.74910361,1.63,2,0.5,5,1,1,1.225089639,HwRedeployComponent,5.637879756,107.8141421,24,638,-40,0,-40
CF3,108.4765258,Category Item Filter,5,108.4765258,1.63,2,0.5,12,1,1,1.152347423,HwRedeployComponent,12.06781267,83.23832011,12,233,-60,0,-60
CF3,228.1975591,Item Management Service,8,228.1975591,1.69,4,0.5,12,0,4,1.180244091,HwRedeployComponent,7.445206458,103.3109746,15,376,0,240,-240
CF1,48.85350969,Bid and Buy Service,10,48.85350969,1.53,5,0.5,2,0,5,1.114649031,LwRedeployComponent,7.68021606,189.208131,8,355,0,60,-60
CF1,143.6966377,Region Item Filter,6,143.6966377,1.63,2,0.5,13,1,1,1.230336231,HwRedeployComponent,17.16943865,93.91547799,4,72,-78,0,-78
CF3,119.9808098,Past Sales Item Filter,5,119.9808098,1.63,2,0.5,13,1,1,1.001919016,HwRedeployComponent,19.39201685,188.8243981,12,544,-65,0,-65
CF1,46.91973969,User Management Service,8,46.91973969,1.53,4,0.5,3,0,4,1.308026031,LwRedeployComponent,17.63671044,128.1755686,14,422,0,60,-60
