FAILURE_NAME,UTILITY_DROP,AFFECTED_COMPONENT,CRITICALITY,UTILITY_INCREASE,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,REPLICA,REQUEST,0,1,FO
CF3,8,Buy Now Item Filter,8,8,1.63,2,0.5,10,1,1,1.144691495,HwRedeployComponent,16.2191377,143.3773476,21,731,60.55308505,140.553085,60.55308505
CF3,7,Future Sales Item Filter,7,7,1.63,2,0.5,13,1,1,1.351806748,HwRedeployComponent,11.61201278,170.676447,7,288,70.48193252,161.4819325,70.48193252
CF2,10,Last Second Sales Item Filter,10,10,0.35,2,0.5,6,1,1,1.446041127,RestartComponent,9.667425092,81.91615479,43,873,35.53958873,95.53958873,35.53958873
CF2,8,Seller Reputation Item Filter,8,8,1.63,2,0.5,2,1,1,1.421611371,HwRedeployComponent,17.79636848,75.97996468,40,741,-6.21611371,9.78388629,-6.21611371
CF2,7,Comment Item Filter,7,7,0.35,2,0.5,3,1,1,1.102943896,RestartComponent,13.4881317,158.2886289,21,802,2.970561036,23.97056104,2.970561036
CF2,16,Item Management Service,8,16,1.69,4,0.5,5,0,4,1.488352687,HwRedeployComponent,7.445206458,103.3109746,34,872,69.11647313,169.1164731,-30.88352687
CF3,17.5,Persistence Service,7,17.5,1.72,5,0.5,14,5,0,1.030190445,HwRedeployComponent,14.73108942,93.8030449,1,16,21.19809555,70.19809555,217.1980955
CF1,6,Region Item Filter,6,6,1.53,2,0.5,15,1,1,1.269761766,LwRedeployComponent,17.16943865,93.91547799,25,566,71.30238234,161.3023823,71.30238234
CF3,5,Past Sales Item Filter,5,5,1.63,2,0.5,7,1,1,1.087409727,HwRedeployComponent,19.39201685,188.8243981,20,900,19.12590273,54.12590273,19.12590273
CF2,5,Category Item Filter,5,5,0.35,2,0.5,2,1,1,1.097442121,RestartComponent,12.06781267,83.23832011,34,696,-5.97442121,4.02557879,-5.97442121
CF3,8,Availability Item Filter,8,8,1.63,2,0.5,3,1,1,1.079831644,HwRedeployComponent,5.637879756,107.8141421,37,983,5.201683559,29.20168356,5.201683559
CF2,13.5,Inventory Service,9,13.5,1.64,3,0.5,5,1,2,1.237833029,LwRedeployComponent,13.07438129,70.4972201,11,192,41.62166971,109.1216697,41.62166971
CF1,16,Reputation Service,8,16,0.35,4,0.5,8,0,4,1.393731049,RestartComponent,14.0272306,151.5789161,18,674,130.0626895,290.0626895,-29.93731049
