FAILURE_NAME,UTILITY_DROP,AFFECTED_COMPONENT,CRITICALITY,UTILITY_INCREASE,COSTS,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT,RULE, PMax,alpha,REPLICA,REQUEST
CF5,46.8362285,User Management Service,8,217.6782677,0.5,4,0.5,11,0,4,1.060823901,AddReplica,17.63671044,128.1755686,55,6886
CF3,94.41692189,Comment Item Filter,7,94.41692189,1.63,2,0.5,7,1,1,1.256292225,HwRedeployComponent,13.4881317,158.2886289,22,837
CF5,65.918171,Buy Now Item Filter,8,128.0849407,0.5,2,0.5,7,1,1,1.492676485,AddReplica,16.2191377,143.3773476,9,512
CF5,68.63471956,Last Second Sales Item Filter,10,77.50768321,0.5,2,0.5,3,1,1,1.137851442,AddReplica,9.667425092,81.91615479,51,3786
CF1,257.7940649,Persistence Service,7,257.7940649,1.72,5,0.5,5,5,0,1.161857108,HwRedeployComponent,14.73108942,93.8030449,21,485
CF5,48.08801359,Comment Item Filter,7,88.94208114,0.5,2,0.5,5,1,1,1.33176459,AddReplica,13.4881317,158.2886289,25,2254
CF2,638.4602918,Query Service,9,638.4602918,1.64,11,0.5,6,10,1,1.445797488,LwRedeployComponent,12.89818771,87.25315103,31,669
CF2,151.9422892,Authentication Service,7,151.9422892,1.64,5,0.85,1,4,1,1.406006237,LwRedeployComponent,5.10730384,156.5920872,22,849
CF5,207.524932,Query Service,9,379.1771887,0.5,11,0.5,4,10,1,1.491546488,AddReplica,12.89818771,87.25315103,75,9572
CF1,96.67425092,Last Second Sales Item Filter,10,96.67425092,1.53,2,0.5,5,1,1,1.108483731,LwRedeployComponent,9.667425092,81.91615479,26,525
CF5,103.0166319,Region Item Filter,6,103.0166319,0.6,2,0.5,8,1,1,1.468736732,RemoveReplica,17.16943865,93.91547799,38,263
CF5,164.419797,Persistence Service,7,210.2198152,0.5,5,0.5,5,5,0,1.434469385,AddReplica,14.73108942,93.8030449,50,4103
CF3,96.96008424,Past Sales Item Filter,5,96.96008424,1.63,2,0.5,4,1,1,1.075415415,HwRedeployComponent,19.39201685,188.8243981,20,941
CF5,70.08626127,Bid and Buy Service,10,171.8115047,0.5,5,0.5,3,0,5,1.413603966,AddReplica,7.68021606,189.208131,34,4450
CF3,119.1233033,Item Management Service,8,119.1233033,1.69,4,0.5,12,0,4,1.180244091,HwRedeployComponent,7.445206458,103.3109746,15,376
CF5,14.79893499,Future Sales Item Filter,7,79.93995097,0.5,2,0.5,6,1,1,1.028796047,AddReplica,11.61201278,170.676447,13,927
CF5,3.978065774,Item Management Service,8,89.12532642,0.5,4,0.5,13,0,4,1.462915649,AddReplica,7.445206458,103.3109746,58,6185
CF5,164.7123521,Reputation Service,8,198.9785674,0.5,4,0.5,4,0,4,1.131359063,AddReplica,14.0272306,151.5789161,36,3882
